"as.numeric.rownames.extract_questions.mydata.question...","extract_questions.mydata.question..text"
3777,"Would you please help me change 'Cao Xiaoqiang' to 'Cai Xiaoqiang'?"
3780,"I have scheduled my TOEFL Exam on Feb 22nd since the deadline is Feb 15th so can i submit the application and later send the TOEFL scores ?"
3781,"and What is the minimum TOEFL score required for the application review ?"
3786,"Fei submit her reference letter?"
3794,"Is it possible to enroll the school in Spring?"
3796,"But she wants to enroll in Winter or Spring of 2015?"
3806,"May I ask if it is ok to have three recommendations from professional setting?"
3815,"Would you accept it if it were mailed from me rather than the university?"
3820,"Am I still eligible to apply to this program?"
3821,"Will the non-information management academic background decrease my chance to be applied?"
3823,"What a competitive GMAT score will be?"
3825,"Will this core be too low to strengthen my profile?"
3829,"Will the program be suitable for me if I want to keep focus on the field of finance but with strong techniques in information management?"
3841,"Besides, I wonder if I have GRE scores, how can I send the score to you?"
3845,"Can you please let me know if it has been received?"
3858,"Also, how rigorous is the McCormick program?"
3860,"Finally, would you recommend completing GRE's before applying?"
3865,"Yours sincerely, Qile Yang ?"
3884,"Can I just email or mail you my transcript?"
3889,"' So do I need to send it now or I send it after submitting my application and if I am admitted than I send the transcript?"
3894,"Is this form still acceptable?"
3903,"It would be really helpful if you can help me understand this by answering some of my queries - * What are the average GRE and TOEFL scores of the students?"
3905,"Is this score sufficient to get an admit?"
3906,"* What is the average work experience of students?"
3924,"Is there a particular prerequisite course that must be completed before applying to the program?"
3928,"Under this circumstance, what should I do with my GRE score?"
3934,"What should I do with this item?"
3944,"Will it add weight to my application if I send my TOEFL scores?"
3947,"Can you please let me know the institution and department code?"
3953,"As to GRE/TOEFL scores, I have the similar question: should I send an electronic version to somewhere?"
3955,"Sincerely, Yuan Quan -- ?"
3985,"1) Financial Aid : Is there any scope for financial aid / scholarship for international students?"
3986,"2) Accommodation Arrangement : Is on campus housing available?"
3989,"Will that qualify as proof of english proficiency ?"
4011,"1) What is the selection criteria?"
4018,"Apart from mentioning my scores on the online application and sending the official scores through ETS, am I also supposed to email the scanned copies of GRE and TOEFL score reports?"
4022,"Dear admission officer?"
4034,"And there are some questions: First: Can I send my GRE scores via ETS system?"
4038,"Is this acceptable if other conditions I submitted meet the standard of the program?"
4046,"As a graduate student with prior exposure to some parts of the MSiA curriculum, are there any courses that I may be exempted from?"
4048,"Is the MSiA program STEM-designated?"
4059,"Could you please help me check if the payment has been received?"
4063,"in Analytics Program, I have taken GRE and Toefl score, but I dont know your minimum require score and your institution codes, may I get this information?"
4072,"Will you require me to provide a statement of financial resource from bank before the deadline, or just provide it after receiving the admission notification?"
4076,"If so, is there any hard copy of recommendation form to fill?"
4080,"Is it okay if I provide you with her personal email id as she is not eligible to use the official mail id of SRM?"
4091,"Does this cost apply to the internship period?"
4093,"What kind of assistance will the school provide for seeking the internship?"
4094,"What if the student cannot find a summer internship?"
4098,"Could you please tell me the code so that I can send you GRE scores?"
4100,"Hi, I'm intertested in the program of MS in analytics, but I cannot find any information about the admission on website, for example does it need GRE or GMAT for admission?"
4101,"And it seems that I cannot complete GRE or GMAT before the deadline, is it possible to submit first, then give you result once I get?"
4107,"What do I write as the Organization in this case?"
4116,"Hey MSiA, Do the letters of rec have to be someone within academia or could they be someone in the industry?"
4128,"Do you require the official transcript from the community college besides the one from my primary university?"
4167,", can I get the exemption for the English Test?"
4174,"Am I eligible to apply for master of Analytics?"
4179,"According to the application instructions, I should provide 3 academic references considering my recency of graduation, but will 1 academic & 2 professional recommendations from my managers suffice ?"
4183,"So can I use this instead of sending official TOEFL scores ?"
4191,"Then am I waived for the TOEFL?"
4213,"Would that be fine or do you prefer three academics regardless of the time spent working professionally?"
4220,"So, is it OK to send this kind of official transcripts?"
4221,"If so, can I send it via DHL?"
4225,"Could you please look into the same and get back to me?"
4231,"Hi Does it make any difference if I complete my application much earlier than the deadline of February 15 ?"
4232,"Will I have an advantage if I finish it earlier?"
4236,"Kindly let me know if this course comes under STEM?"
4237,"Also, what are the areas of courses which are covered under this program?"
4243,"SO, CAN I HAVE A WAIVER ON TOEFL?"
4249,"I am studying in beijing university of posts and telecommunications?"
4250,"and Queen Mary at the same time?"
4251,"during the four years study?"
4252,"I was teached by professor in QM?"
4260,"I am the student from BUPT?"
4261,"international school?"
4262,"and also the person who is a permanent resident, maybe you can search the university program I am in?"
4276,"Could you please let me know whether TOEFL test can be erased for my application?"
4277,"Besides, will it be OK if I send my GRE/TOEFL test report through email at this stage of my application?"
4288,"Could any of the three be professional references?"
4291,"Would you like me to order a copy of print official transcript and send it to you directly from Drexel University?"
4292,"As of the GRE score, would you like to have an official report from ETS?"
4293,"and which code should I use ?"
4312,"Do I have to convert them to GPA at time of applying?"
4313,"If so, does the university have a particular scale which it requires students to use?"
4315,"Are there any pre-course requirements?"
4316,"If in case, I don't satisfy the pre-course criteria can I take a course at the university before or during the university?"
4318,"What has been the average GMAT score for past students?"
4320,"Do you have any work experience criteria for prospective students such as relevant experience, years of experience, etc?"
4322,"Could you please provide employment data such as industry and role of employment, average pay, percentage of students employed at the time of completion of the course, etc for the previous students?"
4324,"Is this a STEM designated course?"
4326,"Could you please help me check that?"
4331,"May I be exempt from the TOEFL requirement?"
4334,"So do I need to report an official GRE score ?"
4335,"Dear Admission Officer, Since I do not a have a copy of GRE score in hand now, could I send you the printed GRE score from the ETS website?"
4344,"Hi Victoria, I was wondering if you were still interested in setting up a meeting with me on Northwestern's campus?"
4373,"Is this just the date to submit the application, or do the online letters of recommendation need to be submitted before Dec-31 as well?"
4379,"Im wondering what institute code should I use to send you the GRE official report?"
4380,"Sincerely yours, Mengjie Wang ___________________________________________________________________________________ Mengjie Wang Beijing University of Posts and Telecomnunications ?"
4404,"But out of last year's 400 applicants, how many were admitted?"
4410,"SO, CAN I HAVE A WAIVER ON TOEFL?"
4416,"I am studying in beijing university of posts and telecommunications?"
4417,"and Queen Mary at the same time?"
4418,"during the four years study?"
4419,"I was teached by professor in QM?"
4427,"I am the student from BUPT?"
4428,"international school?"
4429,"and also the person who is a permanent resident, maybe you can search the university program I am in?"
4431,"Dear Admission Officer, How are you?"
4436,"So how long will the status online change?"
4439,"So could you tell me have you received my GRE report?"
4440,"The last question I want to ask is whether I should mail official transcripts before the deadline of application or mail them after admitted?"
4445,"Will I be allowed to submit my application without the score and perhaps I can submit my scores as soon as I receive it?"
4451,"If I have a bachelor's degree in US, do I still need to take TOEFL test?"
4454,"Sincerely, Yunyan Zhang ?"
4472,"When could I see the report in the system?"
4478,"Should we send any other financial documents or bank statements or Original Transcripts by courier?"
4479,"If so, Can u please tell me what all needs to be sent?"
4488,"Sincerely, Yumeng Best Regards __________________________________________________ Yumeng Zhang ?"
4491,"Shanghai University of Finance and Economics ?"
4499,"I graduated from my master program in May and I am currently working, so should I provide two academic references and one work reference instead?"
4502,"So do you think my quantitative background is enough to apply the program?"
4503,"Anything else I need to improve?"
4513,"2) How big is the class for that program?"
4515,"in Predictive Analytics by Northwester University, School of Continuing Study?"
4516,"Are the courses have different concentration?"
4517,"Does the two schools share the same faculty?"
4520,"Will that be suffice to offset the disadvantage of not having a bachelor degree in Computer Science?"
4523,"Will it be too late to be submitted for consideration?"
4524,"Other than GRE score, what are the other elements you weigh heavily when you evaluate applicants?"
4525,"Is there any merit-based scholarship offered to students taking this program?"
4526,"If I would like to apply for merit-based scholarship, what other requirements I should fulfill to maximize my chnaces?"
4541,"I need to know whether the program is qualified as STEM program?"
4559,"The 500 words length limit is for each point or for the whole statement?"
4568,"Sincerely, Yumeng Best Regards __________________________________________________ Yumeng Zhang ?"
4571,"Shanghai University of Finance and Economics ?"
4590,"Would I need to take the TOEFL for admission purposes?"
4598,"Is it poosible for you to receive my GRE report?"
4616,"Is it going to be an influential factor in admission decision?"
4617,"Which program do you suggest me choose?"
4633,"edu -------------------------------------------- Begin forwarded message: From:?"
4665,"During the application, do I need to upload an additional essay or something to explain my TOEFL is out of date again?"
4667,"Best regards, Sun Xiaoyu ________________________________ ?"
4670,": Master of Science in Analytics ?"
4695,"Would you mind telling me what I need to do?"
4696,"Should I just photo capture the webpage of my GRE scores with my registration information in it?"
4704,"Do I still need to demonstrate my English proficiency by submittig TOEFL scores?"
4705,"Dear Victoria, How are you?"
4713,"So, is there anything I could do to get this wonderful chance of taking this course at Northwestern University?"
4716,"Is program on campus only?"
4721,"Would you pls let me know if 8am was good for you?"
4741,"Can you please tell me any individual/total cut off for toefl for international student ?"
4750,"1) Is it sure that MSiA is collaborating with IBM to foster Big data talents?"
4752,"2) What is the difference between Masters in Predictive Analytics and MSiA in terms of each course's purpose and the program?"
4755,"Is there someone you could suggest I speak with for the Msc in Analytics?"
4760,"Dear Sir/Madam: How are you?"
4766,"Is it possible for me to be admitted if I apply for this program?"
4777,"May I apply with the old score and I will take another TOEFL as soon as possible?"
4783,"On what criteria does Admissions office admit students for its MS in Analytics program ?"
4796,"how many students will be accepted into this program for class Fall 2014?"
4798,"can I submit two academic recommendations and one professional recommendation since I have four internships during my undergraduate studies?"
4802,"So which deadline should I take?"
4803,"Is there any difference between the deadlines of whom is the US citizen or permanent resident or the international student?"
4804,"which one should I take?"
4807,"SO, CAN I HAVE A WAIVER ON TOEFL?"
4808,"I am studing in beijing university of posts and telecommunications?"
4809,"and Queen Mary at the same time?"
4810,"during the four years study?"
4811,"I was teached by professor in QM?"
4819,"I am the student from BUPT?"
4820,"international school?"
4821,"and also the person who is a permanent resident, maybe you can search the university program I am in?"
4824,"Can you pls let me know, by when there will be a decision regarding application for graduate program in analytics?"
4827,"Are there any particular guidelines other than the ones onProspective Students page on the website?"
4834,"What kind of candidates are your program looking for?"
4850,"Do I still need to give the TOEFL exam for the application?"
4860,"Do I need to have thorough knowledge of Maths and Statistics and Computer Programming ?"
4864,"Could you please help me check what is the problem?"
4866,"Could you please let me know what should I do to correct that?"
4884,"Is it possible for you to let me know what are my chances to get into your Fall 2014 MSiA program?"
4912,"So could you please send me the following details?"
4913,"Application deadlines for Spring 2014 Fee Financial Aid/ Scholarship eligibility is it a STEM course?"
4917,"- I scheduled my GRE test on Dec 6, is this schedule ok for Round1, or is the process rolling?"
4918,"- Could you let me know the estimated day the admissions result to be available if I submit my unofficial GRE score as soon as I have it ?"
4920,"Would you or admissions committee accept my additional essay describing my time in undergraduate college?"
4923,"Who would I get in touch with?"
4926,"The second optional essay - Is this where we upload our resumes?"
4927,"Or should I make my resume the second page of my personal statement in Prompt1?"
4947,"Does that mean I should do both?"
4948,"And does this program require the official report of my scores directly from the testing service?"
4960,"Is there is any chance for me to be admitted?"
4964,"In my application, Does universities transcript must be mailed through post from my pervious University?"
4965,"Will it be OK if I send the soft copy of my transcript through email?"
4999,"Can I kindly request you too provide me details regarding Fee structure, scholarships available, career services provided by university and admission requirements please ?"
5005,"TOEFL - Do I need a TOEFL score to apply for this program?"
5008,"Is there any eligibility criteria for the scholarship?"
5017,"Is there any suggestions for me to improve my CS background?"
5020,"The only way for TOEFL and GRE score submitting is through ETS?"
5021,"The Step 4 of applying procedure says that submit official copies of GRE/TOFEL by email, does it mean that I can submit the score report to you directly to you by email and I don't have to do it through ETS?"
5032,"I have one question on the application process: If I want to submit my GMAT and IELTS score, how can I submit it?"
5033,"Can I upload scanned trancripts in the online apllication system or do you require the original transcripts from the test institutions?"
5041,"Finally what is the Deadline for applying for Fall 2014 batch?"
5043,"Could you please confirm that you do or do not have a letter from Dale Embers and if not, could the link be resent?"
5058,"Perhaps Wed-Fri between 12-3pm?"
5094,"Sara, will you please confirm that you can do this?"
5103,"My TOEFL score is old, as an international applicant do I still need to submit my new TOEFL score ?"
5110,"Also, are your program qualified for the OPT 29 months' extension?"
5111,"Second, since i am living around Evanston right now, I wonder do you provide campus tour or trial class for prospective student?"
5113,"Could I communicate with them for some personal feedback, or do you have any recommended person who I could contact with?"
5118,"How do I present that to the admission committee?"
5119,"Or, does my lack of formal coursework exclude me from consideration all together?"
5132,"Do I need to have an official copy sent too?"
5139,"1 How flexible is the curriculum?"
5140,"Is every one able to tailor their program as per their interest?"
5142,"Regarding classroom environment - would you describe it as very competitive, where there is a certain amount of pressure on students to make contributions?"
5143,"Or is it more congenial, or mutually supportive, where one feel at ease contributing to discussions or projects?"
5145,"Can you comment on networking within class and with companies during the program?"
5147,"What's a typical week like for students?"
5148,"How many hours are spent in lectures, projects, and experimental learning?"
5150,"How much time does one have for e/c activities?"
5151,"Is there a culture of being part of different clubs and organizations within the department, and other Northwestern programs?"
5153,"How is the housing and life for families at Evanston ?"
5166,"________________________________ ?"
5189,"html I would like to know whether Am I eligible for doing this course in Fall 2014 with required IELTS and GMAT score ?"
5194,"But I am an undergraduate student from China; will it be an obstacle to my application?"
5195,"Do you have any preference for the students in the US?"
5196,"Secondly, whether you offer a Master's Degree in Analytics or Professional Master's Degree in Analytics?"
5208,"Can you offer me more information about the requirements?"
5209,"Does this program suitable for students who has a background of economics?"
5210,"Can I finish the program in less than 2 years?"
5215,"I want to further confirm should I still need to mail the official transcript and supplementary materials to Northwestern university at this time?"
5231,"Hi, Is it possible to schedule a campus visit to McCormick?"
5232,"If so, when would be a good time to visit before the application deadline?"
5235,"Hi, How are you doing?"
5237,"Could you please answer to my following queries?"
5239,"However, if I choose to send a score do I need to send an official score from GMAC or uploading a scanned copy of the official score report is sufficient?"
5240,"2) Do I need to send the official score of TOEFL through ETS or uploading a scanned copy of the official score report is sufficient?"
5243,"If uploading scanned copy is fine during application, could you please look into the attached file and confirm if this will suffice?"
5246,"Is it an absolute must because getting 3 recommendations while you are at work may be challenging at times?"
5247,"5) What % of the tuition fees can be obtained by fellowship/ scholarship/ assistantships ?"
5262,"Does your program come under STEM?"
5274,"Hello Is this program offered online?"
5280,"Does it mean during the application I just need to submit the copy of my official transcript through email?"
5281,"And if I will be admitted, then I will need to mail the official transcript in sealed envelopes to your department address?"
5294,"5 years experienced candidate ?"
5295,"And will there be any weightage for work experience ?"
5302,"Are the fellowships applicable to International students and if yes then what is the criteria?"
5305,"Apart from fellowships, are assistantship options open to International students?"
5307,"Is there a separate procedure to apply for a fellowship ?"
5309,"By when do we know whether or not the fellowship has been granted?"
5317,"If I take GRE few weeks after, can the GRE be included as part of my application file?"
5318,"Hello, I would like to know if the MS in Analytics is offered online?"
5326,"What differentiates Northwesterns program from programs offered by other schools, specifically NCSU, USF, and NYU ?"
5340,"What would be a good time or date for me to visit?"
5361,"Do I have any chance to be admitted by your esteemed program?"
5392,"Any scholarship/ GA available ?"
5394,"Does that mean if the academics, profile, work experience, TOEFL score are good enough, then GRE/GMAT is not really essential and I still have a good chance ?"
5395,"Does that mean in order to be considered for any scholarship/ GA, GRE/GMAT would not be a critical factor ?"
5397,"Would you recommend appearing for GRE/GMAT at this stage ?"
5399,"Estimated Living expenses ?"
5401,"How much funding needs to be shown on Bank statements / Finance documents while obtaining I20 or during application ?"
5403,"Job Placement statistics ?"
5404,"Do you think a 98 in TOEFL and 301 in GRE would suffice ?"
5446,"Am I a good candidate to apply for MS in Analytics?"
5454,"Can the TOEFL requirement be allowed to waive for me?"
5457,"Whats the institution code and program code for requesting ETS to send GRE for you?"
5458,"And could your provide me the average statistic of GRE from current students in your program?"
5468,"Can I be exempt from the TOEFL requirement?"
5492,"Has it been roughly the same for the past few years?"
5497,"In terms of applying to master program in department of analytics, is it required to have taken classes of linear algebra or advanced mathematics other than calculus?"
5509,"Do I still need to provide TOEFL test under the circumstance?"
5510,"Also do I need to provide Financial evidence before application deadline?"
5511,"In addition, I took two courses at the community college, do I need to upload the unofficial transcript for these two courses?"
5535,"Can I go in with a counselor to talk about the application process and learn more about the program?"
5540,"Can you pls waive application fee?"
5548,"Do I need to retake it?"
5553,"What are the prerequisite courses of this program?"
5554,"Or what level of mathematics, quantitative and computer science skills are expected to be considered in the admission?"
5557,"Should I list this Institution as a separate education experience in the online application?"
5558,"If not, should I still send the official transcript of UNM as part of my undergraduate transcript?"
5561,"Will these online courses strengthen my application profile?"
5571,"Do you accept candidates with this profile and score?"
5574,"Also,please let me know how the Career Opportunities are for this course?"
5575,"What is the average package and placement percentage?"
5614,"In this case do you prefer to have the letter in Spanish or to have it officially translated and then sent it to you?"
5617,"Do I also need to send one copy to above mentioned address?"
5618,"Also, what is the university code for sending GRE scores?"
5626,"Could you fix the error on the status or could you let me know if there's anything I need to do about it?"
5628,"May I get to know how many students you are going to accept for Fall 2014?"
5629,"And what is about the admission rate based on the previous years?"
5641,"Could you have a look on the status error or let me know how I can correct it?"
5646,"Do I still need to submit transcripts for these community college classes?"
5651,"Do I still need to provide my TOEFL Score?"
5658,"Is it possible to visit office and ask some questions regarding this program?"
5662,"Would that be possible?"
5663,"Hi~ Dose the master program of Science in Analytics begin?"
5664,"Can you please give an web link to the online application system?"
5670,"If I were to apply to the Analytics program for Fall 2014, would I have to go through the full application process, since I was a Northwestern engineering undergraduate student?"
5676,"So do I still need to submit TOEFL when I apply for this program?"
5705,"com/sh/b5gl82okb32g5ii/jFVt27SK_x?"
5893,"my current MSHR program is full time two year one and I am going to graduate in June next year, so can I waive the TOFEL score?"
5895,"I wonder do you have specific courses as prerequisites for this program?"
5905,"Could you please tell me whether both are to be done before applying or if I can mail you the scanned copies for now and wait to hear the decision from Northwestern before I request the university to send the official transcripts?"
5915,"Reading through the website, it looks like all applications must be submitted before February 15th, but will they be reviewed on a rolling basis until that time?"
5916,"If so, can you provide any estimate on the time that will be needed for review?"
5921,"Hi, What has been the historical acceptance rate for this program?"
5947,"edu -------------------------------------------- From:?"
5951,"Montanari, May I upload the WES Evaluation Report together with official transcript for admission review?"
5952,"Zhang Min Bachelor of Business Administration The Chinese University of Hong Kong, 2014 ?"
5963,"What is the acceptance ratio of the programme?"
5964,"What is the size of the class?"
5966,"What is the avg GRE score of the current batch?"
5968,"Is the program open to international students?"
5977,"Have any slots opened up so that a person applying now would be considered to begin in January?"
5978,"Hi, Can you please answer the following questions?"
5980,"How many students applied for the program last year?"
5982,"What was the average CGPA of last year's incoming batch?"
5987,"Would that make it extremely unlikely that I would be admitted to the program, or not necessarily if my GRE, CV, and personal statement are extremely strong?"
5995,"Dear Victoria: I want to ask about when the status in the application system will reflex my paid application fee and submitted transcripts?"
6002,"Is it possible to waive the TOEFL scores requirements for me in my application?"
6014,"Do I need to submit Toefl score?"
6016,"Do I need submit GRE or GMAT scores?"
6019,"Where can I find the PDF version of the recommendation instructions the so I can send it to the fourth recommender?"
6021,"Is it on rolling basis or the applicants' materials are reviewed after the deadline?"
6027,"Will the system allow me to submit my application before the reference documents are submitted?"
6031,"Can I go ahead without uploading the transcript on the system and send it to you by mail instead?"
6053,"Is there any bootcamp/preparatory knowledge program for those who don;'t have a background in this field?"
6059,"Could you kindly help me update the payment status in the application system?"
6067,"What is the course schedule like in the Winter Quarter?"
6068,"Do I have any flexibility to take some time off?"
6089,"Hello Am Raju Dasari, india Interested in MS-Analytics But I want to get admit for the coming spring?"
6090,"Is it possible to get admit?"
6103,"I wanted to know whether I need to submit the official TOEFL score from ETS to your college ?"
6109,"Is it possible to submit a 4th on the system?"
6136,"* Would the fact that I have not done my undergraduate studies in engineering or Math affect my application prospects?"
6137,"* Does Northwestern require any Math pre-requisites?"
6147,"What scores would I need to register on the academic credentials section of my application?"
6148,"Also, are the decisions published until march?"
6150,"And finally, is the average gmat score, gpa of admitted students available?"
6170,"Is it typical for payments to take this long to be recognized by the application system, or has something gone wrong?"
6184,"Do I stand any chance of being considered for this course as per your selection criteria?"
6193,"Is there any way someone can check on the status of the letters?"
6197,"May I ask when will my online status be updated?"
6218,"Would that be a problem?"
6221,"Would that be a good time to come?"
6222,"Could you please send me a list of classes which I can attend?"
6231,"Even though the application is due February 15th, do you all make admissions decision on a rolling basis?"
6232,"If not, do you start reviewing applications in February itself?"
6238,"Is any information session for MS in Analytics program?"
6240,"What's the average class size and prof/student ratio?"
6242,"Can I attend any class of MS in Analytics program on information session day?"
6245,"6 Working as a business consultant at Kline & Company, and have an industry experience of about 2 years 6 months in FMCG vertical Passion : Music Pastime : bicycle riding and playing cricket Ambition : To nurture my analytical skills and thrive in the field of analytics Could you please let me know if I am eligible for the MS in Analytics program?"
6251,"Would you advise me to take the TOEFL test before I apply to the MS-BA course?"
6255,"Would that be possible?"
6257,"Could you please help me address them?"
6259,"Is this a STEM program?"
6261,"Would you please provide employment statistics for past graduates from this program?"
6268,"Do i have to submit TOEFL score?"
6271,"What is the median or 80% range of the score for the batch of 2013-14?"
6273,"Are there any course prerequisites?"
6288,"I have the following queries regarding MS in analytic's 1) I have completed my graduation in electronics engineering and presently working with a IT company in India,i would like know know that due to you have any certain criteria for work experience?"
6289,"2) What are the things that you would take into account while considering a student for an admit and scholarship?"
6290,"3) Does this course have in pre requisite course requirements?"
6300,"S in ISE to MSiA in Northwestern ?"
6301,"2) If yes, then what are the requirements for a transfer?"
6304,"3) Is a transfer possible for Spring 2014?"
6307,"Regards, Mahima Sent from Windows Mail From: Master of Science in Analytics Sent: ?"
6333,"0 GPA, is there a minimum GMAT score that allows me to balance the academic record?"
6334,"- I understand that the deadline for applications is in mid February, but is there a first round deadline?"
6335,"- My undergraduate grades are in the 0-5 scale, is there anything I have to do to convert them to the GPA scale?"
6362,"Also, how many new graduate students will be accepted?"
6363,"how competitive it is?"
6364,"Do u set the minimum scores of GPA, toefl, and GRE?"
6373,"Which score do you recommend me to send?"
6374,"Or I can submit both of them?"
6377,"Best regard, Tian -- ?"
6391,"Could you kindly tell me in order to complete my online application, is an official transcript required or not?"
6392,"Is the official transcript only required if I am admitted?"
6393,"For application purporse, am I allowed to scan and email the unofficial transcript to you?"
6406,"Am I eligible to apply for Certification in Data Mining subjects without GRE/GMAT ?"
6409,"Do you have a masters in Data Science/Mining program ?"
6411,"After completion of certification, can I join as an international student on F1 visa and apply the credits to Master program?"
6413,"What is the fee for Certification and Masters course in Data Science ?"
6415,"Is there online/part time/full time version of courses ?"
6427,"Can this requirement be waived?"
6435,"If I were exempted from this requirement, do I just leave the TOFEL test score on the system blank?"
6436,"Considering I am an international applicant, do I need make other notes on the application system about the exemption?"
6439,"Does the MS in Analytics program have similar requirement?"
6444,"Does the McCormick School of Engineering, other departments, or office offer assistantship to international student?"
6456,"Is TOEFL still required for my application?"
6457,"Is GRE MATH Subject Test required?"
6491,"Could you tell me if it is a STEM-Designated Degree Program?"
6493,"In this case can the TOEFL score be waived?"
6496,"By when can i expect a response from you regarding the admission status?"
6497,"Also, do i have to submit an sparate application for scholarships and fellowships?"
6503,"Does your program have any such requirement?"
6509,"So if earlier application means higher chance of admission?"
6515,"Are there any upcoming information sessions this fall?"
6516,"Are the two information sessions this winter really already full?"
6519,"Can you please check and revert?"
6522,"Can you please update me on the status of the same?"
6532,"Is there another way to submit an electronic payment, or would you suggest that I mail a check?"
6537,"As I compare programs I am hoping to get the following information: What is the current enrollment in the program?"
6538,"How many alumni are there?"
6539,"What is the graduation rate?"
6540,"What is the job placement rate?"
6541,"How many students go from Northwestern's undergrad program to this program?"
6552,"Can this requirement be waived?"
6560,"If I were exempted from this requirement, do I just leave the TOFEL test score on the system blank?"
6561,"Considering I am an international applicant, do I need make other notes on the application system about the exemption?"
6564,"Does the MS in Analytics program have similar requirement?"
6569,"Does the McCormick School of Engineering, other departments, or office offer assistantship to international student?"
6573,"I am curious if you could answer a few of my questions?"
6575,"How long has the Data Analytic's Master's program been around at Northwestern?"
6577,"How many faculty do you have on your team?"
6579,"How many students do you have enrolled in the program?"
6581,"What is your graduation rate and or placement rate out of the program?"
6597,"Do you know when the online payment system will be open for the fall 2014 cohort applications?"
6615,"Are there any specific pre-requisite classes for entry into the MS Analytics degree?"
6624,"Can this requirement be waived?"
6632,"If I were exempted from this requirement, do I just leave the TOFEL test score on the system blank?"
6633,"Considering I am an international applicant, do I need make other notes on the application system about the exemption?"
6636,"Does the MS in Analytics program have similar requirement?"
6641,"Does the McCormick School of Engineering, other departments, or office offer assistantship to international student?"
6646,"Do I need GRE or GMAT score for that?"
6647,"What are the deadline for next possible intake?"
6650,"So could please send me the following details?"
6651,"Curriculum Duration of course Application deadlines for Spring 2014 Fee Financial Aid/ Scholarship eligibility is it a STEM course?"
6686,"Will a five year graduation affect my application process in any means?"
6691,"I looked through the programs website, but I still have a few questions that I hope you would be able to address: - What is the average age/work experience of enrolled students?"
6692,"- When did this program first start?"
6693,"- What types of employers are interested employers in graduates of the program; regional, national and/or international employers?"
6694,"- What is the average fellowship/scholarship/financial aid award for international students?"
6726,"Is this a cohort program and how many students are enrolled?"
6732,"Is there a good time we can touch base today Wed, Sep 4th?"
6739,"However, are there any future plans to expand the capacity of the program in terms of the amount of students accepted per cohort?"
6742,"Would you be able to share a resume with us ?"
6756,"Could I ask that you send a resume and unofficial transcripts if you have them readily available?"
6757,"Could I also ask where you heard that the program does not have a full cohort for the upcoming academic year?"
6775,"Do you have open-house or per appointment options for prospect students to see and experience firsthand the program?"
6787,"I want to know how rigid is the University policy for this?"
6792,"Do I stand a chance if I apply or will the application be out rightly rejected?"
6796,"What GRE scores do I need to get into your program?"
6798,"What do you do with multiple GRE scores?"
6801,"e even the verbal reasoning and the AWA parts?"
6803,"Will GRE scores be used for anything other than admissions such as scholarships?"
6805,"How competitive is admission to your program?"
6807,"What was the average GRE score for last year's incoming batch?"
6810,"Will a good score increase my chances of admission to your program?"
6811,"If so, what is a good score?"
6822,"Will it be possible to meet with one of the admission staff members during my visit?"
6832,"I wonder if my 3-year bachelor degree is available to apply?"
6833,"If not,what can I do?"
6834,"Are there any pre-masters in your university for me in order to apply your Master of science in analytic?"
6841,"Can I use IELTS 7 to apply Master of Science in Analytics this year?"
6871,"Is there anyway you could please list what would be the draw-back of doing the on-line program versus the 15 month program on Northwestern's campus would be?"
6878,"Am I eligible to apply for the course?"
6879,"Also is there a minimum GPA requirement for the program?"
6880,"Hello, I am a very interested student that will be applying for winter quarter, before I do I wanted to know if it will be okay if I can come in and talk to someone, ask a couple of questions regarding the department and basically see what I can mention in my essay for the department?"
6882,"Hi, I am interested in applying for ?"
6884,"I am a current student in ?"
6889,"Thanks, Swarnim Shekhar ?"
6901,") Will you be able to accept my old GRE score for the MS Analytics program I had scored 750 in Quant and 570 in Verbal?"
6903,") Can a person work also along with this program or do you have to leave the current job and then join?"
6905,") When is the next batch going to start and what is the application deadline for it?"
6921,"Please give me a complete listing Transcripts: Do we need to upload or send transcripts?"
6922,"Also, should it be official or unofficial one?"
6923,"I have percentage system at University of Mumbai so do you need WES evaluation reports or normal marksheets will suffice?"
6924,"Financial documents: Do you need any financial during the application process or do I need to submit them once I am offered an admit?"
6933,"I have perused the website for admission information and have the following queries - 1) Is the MSiA degree a STEM qualified program?"
6934,"2) Prerequisites - Are there any specific statistical or programming language prerequisites to apply to the program?"
6937,"Can I still request all 3 LOR's from workplace or do I need to have a minimum of 1 LOR from my graduate university?"
6938,"3) Information Sessions - Apart from being a webinar focused on the program and curriculum, will the information session act as a platform to talk to current students and professors also?"
6966,"If you dont mind, can I ask two questions?"
6967,"First, is there minimum GMAT score to get into this program?"
6969,"Second, what kind of undergraduate majors are needed for this program?"
6977,"Do I have any chance to talk to a program representative?"
6992,"Hi Vicky, Can you please let me know what might be the approximate charges for sending few documents by courier to India?"
7123,"Could you please respond to this prospective student inquiry with the general template email?"
