,sent,freq
403," Currently, we have uploaded your official transcript, TOEFL, and GMAT scores",1
404," We have not received your application payment yet, once we have your payment you will have a complete application",1
405, Please let me know when you look on your account if you do not see these changes uploaded in your account,1
406," If you have any additional questions, please let me know",1
407,Dear Michaelia: Thank you for submitting your transcripts to the Master of Science in Analytics at Northwestern University,1
408,edu/> From: Michaelia McLean ,1
409,Dear Francesco ; Thank you for reaching out to us at the Master of Science in Analytics with your questions concerning our application process here at Northwestern University,1
410," To answer your first question about how to acknowledge University of Edinburgh, and the certificates from Stanford and Cornell my suggestion would be that you include your certificates on your resume, and if the University of Edinburgh is not credited on your transcript from the University of British Columbia then I would note that also in your resume",1
411," In regards to your GMAT score and your application standing, I encourage you to submit your application now",1
412, Then when you take the test you send your scores in,1
413, We will update your account upon receipt of your scores and let you know when the change is processed,1
414,edu/> From: Francesco Aggani ,1
419,8005 <http://www,1
420,edu/> www,1
421,edu From: Liao Vanessa ,1
423,edu/> From: Liao Vanessa ,1
424,Dear Ashish: Thank you for reaching out to us with your questions about the application process here at the Master of Science in Analytics department at Northwestern University,1
425," To answer your question concerning the official transcript, we do not require an official transcript until you have been accepted into the program",1
426, At that point we ask for official transcripts to be sent in so that you can be enrolled here at NU,1
427, We will notify you if we do require a hard copy of your transcript,1
428, We receive packets of TOEFL scores biweekly after they have been collected by ETS,1
429, I will update your application page once we receive your TOEFL,1
430," As of this moment, we do not have your TOEFL score",1
431, It does take some time to receive TOEFLs,1
432,edu/> From: Ashish Chandwani ,1
433,Hello Manu: If you can provide a website through the university which indicates the primary language of instruction we can discuss the waiver of your TOEFL requirement,1
434," I apologize for the delay in response time to this question, I have not had a request as such before and we wanted to make sure we had the correct answer for you",1
435, Please let me know if there is any indication from the institution if English is the primary language,1
436," Thank you and have a nice weekend, Victoria L",1
437,edu/> From: Manu Hegde ,1
438,Hello Ziyi: You do not need to submit the official documents,1
439, Our admissions committee can evaluate you based on the scanned materials you have provided us with,1
441,Hello Ziyi; Thank you for sending me your additional information to the Master of Science in Analytics program,1
442, I have uploaded your materials into our application manager system,1
443, It takes up to 24hours for it to reflect on your system,1
445,"Yes, please email me an updated transcript once your winter grades are in and I will change your transcript in our system",1
446, Please note in your second submission that you have already given us a preliminary transcript,1
447,edu/> From: Carter Zheng ,1
448,Dear Arnab: Thank you for reaching out to us with your questions about the Master of Science in Analytics program here at Northwestern University,1
449, Please see below for answers to your questions: 1,1
450, A scanned copy of your GMAT score is all that is required for your application,1
451," We receive both hard copies and scanned copies of TOEFL scores, it is up to your discretion how you send it to us",1
452, We will evaluate both,1
453, Your attached scanned copy of your transcript is sufficient for the application process,1
454," After your acceptance into our program we do require the official transcript, but for now the scanned version is sufficient for our admissions committee",1
455,4,1
456, We do require 3 recommendations,1
457," We understand this may be challenging, but in order to have a full understanding of candidates we look at what others recommend your qualities as",1
458,5,1
459, We only control a limited number of fellowships each year,1
460, We give out a Fellowship (merit based) for 50% of tuition fees for the 4 quarters you would be taking classes,1
461, If you would like to look outside the program for scholarships or assistantships I recommend you to go to our Tuition and Fees <http://www,1
462,html> page and use the links for different financial aid options at Northwestern University,1
463, Please let me know if you have any other questions concerning applications here at Northwestern,1
464,edu/> From: Arnab Chatterjee ,1
465,"Hello Jia: To answer your question, we only require a scanned transcript to evaluate your academic background in the admissions process",1
466," In order for Northwestern to enroll you as a student, they require an official transcript from your university",1
467, As long as it is sealed and signed from your Registrars office it is acceptable that you mail us the sealed transcript,1
468,edu/> From: JIA XIAO ,1
473,"Hello Le, I apologize for the inconsistency in our language concerning transcripts",1
474, We will accept both hard copy and scanned copies of transcripts,1
475, For application purposes you need only to send a scanned copy of your transcript to us,1
476, We will load it electronically into our application system,1
477," However, pending your admission acceptance we cannot matriculate you into Northwestern Universitys system unless we have the official transcript",1
478," For now, please only send us a copy of your scanned transcript to this email address",1
479, And please let me know if you have any other questions,1
480,edu/> From: Le You ,1
481,Dear Chen: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,1
482," To answer your question, we do not require a TOEFL from you if your degree was issued by Purdue University",1
483, As long as the degree granting institution uses English as the primary language your fluency requirement is satisfied,1
484, We do not require Financial evidence upon applying,1
485," If you believe the courses at a community college will help bolster your application, I encourage you to submit those transcripts",1
486, Some students will supplement their undergraduate degree with quantitative classes or computer science classes and then include them in the application,1
487, We are also scheduling an online information session for November 15th at Noon CT please fill out the registration of interest form if you would like to get more information about this session,1
488, -----Original Message----- From: ,1
503,Hello Neerav: We have received your transcript and have updated our records,1
504, We do not need a hard copy unless you are accepted into the program,1
505, We will contact you if we have any questions concerning your application,1
506, Please let me know if there are any other questions about MSiA at Northwestern,1
507,edu/> From: Neerav Basant ,1
508,Hello Alok: Thank you for reaching out to me with this question,1
509," To answer you, no",1
510," We only require the one transcript from UT-Austin, as long as those grades are represented on your transcript we will not need the two community college transcripts",1
511, Please let me know if you require any further assistance with the application process,1
512,edu/> From: Alok Mody ,1
523,"Dear Mayank, We do not require official transcripts for consideration to our program",1
524, We ask that you provide a copy of your transcripts for your application,1
525, Upon admittance to the program you will be required to provide your official copies before being enrolled,1
526, Please let me know if you have any further questions regarding your application,1
527,edu -----Original Message----- From: Mayank Makhija ,1
528,"Hello Collin, Thank you for reaching out to us with your question",1
529, We do not enroll based on rolling admissions,1
530, We wait until applications close in Feb to then evaluate candidates,1
531, We will send out application decisions starting March 18th,1
532, Please let me know if you have questions about this,1
533,"edu/> From: Thomas, Collin ",1
534,"Hello, Yes please upload all of your application material",1
535, You will send pdf files of your transcript to this email account and we physically upload them into our application system,1
536, Please let me know if you have any further questions,1
537,edu/> From: Zhang Min ,1
538,Dear Zhenyang: We do not require your official copies unless you are admitted to the program,1
539, Your electronic version is all that is needed at this point,1
540, Thank you for reaching out to us about this,1
541, Let me know if you have any other questions,1
542,edu/> From: PAN Zhenyang ,1
543,"Hi Nandagopal: Yes, that is not a problem",1
544, I manually submit the transcripts and we create an electronic bundle of your application to then send on to the admissions committee once completed,1
545, Victoria From: Nandagopal Gopinathan ,1
546,Hi,1
547, If you have the pdf scanned copy you can send that to me directly and I will upload it on our end,1
548, From: Nandagopal Gopinathan ,1
549,"Hello Ashwin, Yes the scanned document you provided for your transcript is sufficient for this stage of the admission process",1
550," If you are admitted tour program, we will require an original document",1
551, Thank you From: Ashwin Chadaga ,1
552,Dear Ashwin; Thank you for reaching out to us about the status of your application at Northwestern Universitys MS in Analytics program,1
553, Your application is complete and we have received all information to evaluate you as an applicant for the 2014-2015 cohort,1
554, We will announce decisions on March 17th,1
555,Dear Ashwin Thank you for including your supplemental materials,1
556, You should see them reflected in your account online within the next 24hours,1
557, Please let me know if you have any questions or concerns,1
558, You do not need to submit the official copies until you are accepted into the program,1
559," Thank you, and please let me know if you have any more questions Master of Science in Analytics",1
560, From: Ashwin Chadaga ,1
561,"Dear Thomas: If you are looking for a course to help you upon entering our program, we recommend Linear Algebra, Calculus, and Statistics",1
562, These are not required for admittance to our program but it is encouraged to have a quantitative background to help you with our courses,1
563, From: Thomas Evans ,1
564,Dear Dilip; Thank you for reaching out with your question concerning your application here at Northwestern University,1
565," To answer your question, we do not evaluate applications on a rolling admissions basis",1
566," Once the online application closes on February 15,2014, our panel of admissions advisors will evaluate each candidate and notify applicants of their decision no later than March 18, 2014",1
567,Hello Steven: I just want to make sure I understand you question correctly,1
568, What specifically are you referring to in your question,1
569, Is this for a loan for financial support,1
570, We do not require such evidence in our decision to give admittance to a candidate,1
571," However, after acceptance if you wish to take out a loan then you will be required to provide such evidence",1
572, Please let me know how I can further answer your question,1
573,edu/> From: Jianhao Long ,1
